Month Year,Age,Sex,Homicide (Murder),Other Homicide,Attempted Murder,Conspiracy to Murder,Manslaughter (excl. by driving),Manslaughter Unlawful Striking Causing Death,Driving Causing Death,Assault,Grievous Assault,Serious Assault,Serious Assault (Other),Common Assault',Sexual Offences,Rape and Attempted Rape,Other Sexual Offences,Robbery,Armed Robbery,Unarmed Robbery,Other Offences Against the Person,Kidnapping & Abduction etc.,Extortion,Stalking,Life Endangering Acts,Offences Against the Person,
01-Apr,Juvenile,Male,0,0,0,0,0,0,0,170,7,96,2,65,38,0,38,17,4,13,20,3,0,1,16,245,23
01-Apr,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
01-May,Adult,Female,1,4,3,0,0,0,1,440,12,227,29,172,141,49,92,51,10,41,115,9,0,44,62,752,25
01-May,Adult,Male,1,6,5,0,0,0,1,700,30,318,75,277,21,1,20,81,31,50,118,5,5,23,85,927,26
01-May,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
01-May,Juvenile,Female,1,2,0,0,1,0,1,110,4,62,6,38,177,35,142,1,0,1,41,5,0,4,32,332,28
01-May,Juvenile,Male,0,3,2,0,1,0,0,184,4,107,5,68,32,6,26,24,5,19,30,2,0,1,27,273,29
01-May,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
01-Jun,Adult,Female,1,6,3,0,0,0,3,432,14,210,32,176,119,41,78,64,13,51,110,7,1,40,62,732,31
01-Jun,Adult,Male,2,13,11,0,1,0,1,757,40,324,80,313,35,8,27,81,29,52,94,8,1,15,70,982,32
01-Jun,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
01-Jun,Juvenile,Female,0,0,0,0,0,0,0,100,1,44,6,49,134,18,116,2,2,0,24,6,0,4,14,260,34
01-Jun,Juvenile,Male,0,0,0,0,0,0,0,165,3,88,9,65,28,4,24,17,1,16,26,2,1,0,23,236,35
01-Jun,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
01-Jul,Adult,Female,3,1,0,0,0,0,1,454,16,221,34,183,98,23,75,41,9,32,100,14,1,42,43,697,37
01-Jul,Adult,Male,3,7,3,0,0,0,4,711,33,315,77,286,23,4,19,66,29,37,104,4,2,17,81,914,38
01-Jul,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
01-Jul,Juvenile,Female,0,1,0,0,1,0,0,116,2,58,2,54,122,12,110,4,0,4,38,5,0,9,24,281,40
01-Jul,Juvenile,Male,0,1,0,0,0,0,1,139,6,73,4,56,16,0,16,22,9,13,26,6,0,0,20,204,41
01-Jul,Juvenile,Not Stated,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42
01-Aug,Adult,Female,3,6,2,0,1,0,3,463,11,236,25,191,98,36,62,38,12,26,109,11,0,46,52,717,43
01-Aug,Adult,Male,2,8,5,0,1,0,2,688,38,311,70,269,22,4,18,68,26,42,98,9,3,16,70,886,44
01-Aug,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
01-Aug,Juvenile,Female,0,0,0,0,0,0,0,116,2,49,4,61,156,20,136,11,0,11,26,2,0,7,17,309,46
01-Aug,Juvenile,Male,1,0,0,0,0,0,0,146,4,77,5,60,49,1,48,28,14,14,29,4,1,0,24,253,47
01-Aug,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
01-Sep,Adult,Female,0,5,3,0,0,0,2,472,16,204,37,215,106,29,77,35,10,25,138,12,2,52,72,756,49
01-Sep,Adult,Male,2,16,12,1,1,0,2,806,56,328,94,328,15,5,10,57,24,33,109,5,7,14,83,1005,50
01-Sep,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
01-Sep,Juvenile,Female,0,1,1,0,0,0,0,103,1,54,1,47,155,17,138,5,1,4,37,6,0,9,22,301,52
01-Sep,Juvenile,Male,1,3,3,0,0,0,0,153,6,82,5,60,30,1,29,24,7,17,31,0,0,1,30,242,53
01-Sep,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
01-Oct,Adult,Female,2,7,5,0,1,0,1,454,19,200,38,197,94,37,57,45,14,31,160,15,3,62,80,762,55
01-Oct,Adult,Male,3,10,7,0,0,0,3,826,40,376,89,321,38,3,35,89,41,48,152,5,7,21,119,1118,56
01-Oct,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
01-Oct,Juvenile,Female,2,0,0,0,0,0,0,128,2,58,8,60,190,34,156,4,0,4,46,6,0,5,35,370,58
01-Oct,Juvenile,Male,2,1,0,0,0,0,1,202,6,129,5,62,61,9,52,18,6,12,45,5,1,0,39,329,59
01-Oct,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
01-Nov,Adult,Female,0,3,2,0,0,0,1,485,14,231,36,204,92,34,58,42,9,33,133,12,1,50,70,755,61
01-Nov,Adult,Male,4,14,10,1,1,0,2,818,57,363,90,308,22,2,20,90,39,51,131,6,2,10,113,1079,62
01-Nov,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
01-Nov,Juvenile,Female,0,1,1,0,0,0,0,150,3,67,10,70,150,27,123,7,2,5,49,10,0,7,32,357,64
01-Nov,Juvenile,Male,2,2,1,0,0,0,1,193,8,105,11,69,33,2,31,30,12,18,23,2,0,0,21,283,65
01-Nov,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
01-Dec,Adult,Female,0,6,5,0,0,0,1,572,12,280,48,232,108,48,60,42,14,28,148,22,1,55,70,876,67
01-Dec,Adult,Male,2,15,13,0,1,0,1,1014,73,451,118,372,13,1,12,81,31,50,90,9,0,11,70,1215,68
01-Dec,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
01-Dec,Juvenile,Female,1,0,0,0,0,0,0,125,1,54,4,66,128,21,107,5,3,2,54,7,1,5,41,313,70
01-Dec,Juvenile,Male,1,2,0,0,0,0,2,143,3,80,4,56,40,5,35,21,6,15,36,0,3,0,33,243,71
01-Dec,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
02-Jan,Adult,Female,2,5,3,1,0,0,1,522,8,250,36,228,99,39,60,44,11,33,159,18,1,62,78,831,73
02-Jan,Adult,Male,3,12,8,0,2,0,2,868,50,391,105,322,32,3,29,71,29,42,106,9,1,10,86,1092,74
02-Jan,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
02-Jan,Juvenile,Female,1,1,0,0,0,0,1,115,2,54,8,51,182,37,145,7,5,2,38,6,0,3,29,344,76
02-Jan,Juvenile,Male,2,4,3,0,0,0,1,169,5,107,7,50,40,7,33,52,14,38,39,7,0,2,30,306,77
02-Jan,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
02-Feb,Adult,Female,3,5,3,0,1,0,1,485,14,242,34,195,156,47,109,27,10,17,119,13,0,41,65,795,79
02-Feb,Adult,Male,0,18,13,0,2,0,3,793,48,349,99,297,14,3,11,66,26,40,113,7,4,9,93,1004,80
02-Feb,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
02-Feb,Juvenile,Female,0,1,1,0,0,0,0,119,1,71,2,45,133,31,102,5,1,4,29,2,0,7,20,287,82
02-Feb,Juvenile,Male,1,1,0,0,1,0,0,191,4,96,9,82,44,7,37,20,4,16,30,4,0,2,24,287,83
02-Feb,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
02-Mar,Adult,Female,0,2,2,0,0,0,0,515,13,269,31,202,125,47,78,25,9,16,126,10,0,57,59,793,85
02-Mar,Adult,Male,6,5,4,0,1,0,0,834,53,394,73,314,18,4,14,69,32,37,97,3,0,11,83,1029,86
02-Mar,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
02-Mar,Juvenile,Female,0,0,0,0,0,0,0,144,0,68,3,73,140,30,110,2,1,1,46,7,0,7,32,332,88
02-Mar,Juvenile,Male,0,3,2,0,0,0,1,196,4,108,5,79,38,4,34,20,5,15,43,2,0,2,39,300,89
02-Mar,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
02-Apr,Adult,Female,3,1,1,0,0,0,0,423,16,214,24,169,114,48,66,31,9,22,111,10,0,47,54,683,91
02-Apr,Adult,Male,2,2,1,0,1,0,0,681,43,304,78,256,23,6,17,48,12,36,84,0,3,14,67,840,92
02-Apr,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
02-Apr,Juvenile,Female,0,0,0,0,0,0,0,110,1,55,3,51,150,29,121,4,1,3,33,3,0,12,18,297,94
02-Apr,Juvenile,Male,0,0,0,0,0,0,0,178,4,111,6,57,46,4,42,10,6,4,23,0,1,1,21,257,95
02-Apr,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
02-May,Adult,Female,0,5,3,0,0,0,2,422,12,203,37,170,101,38,63,32,8,24,111,9,0,46,56,671,97
02-May,Adult,Male,1,7,4,0,1,0,2,801,43,338,111,309,21,7,14,49,21,28,102,7,1,9,85,981,98
02-May,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
02-May,Juvenile,Female,0,0,0,0,0,0,0,123,1,67,5,50,176,34,142,1,0,1,43,6,0,6,31,343,100
02-May,Juvenile,Male,0,1,0,0,0,0,1,145,6,86,4,49,40,5,35,16,2,14,41,2,0,1,38,243,101
02-May,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
02-Jun,Adult,Female,2,5,4,0,0,0,1,433,8,225,25,175,108,46,62,35,11,24,139,11,1,57,70,722,103
02-Jun,Adult,Male,2,4,3,0,1,0,0,721,38,318,81,284,17,4,13,59,22,37,98,10,1,14,73,901,104
02-Jun,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
02-Jun,Juvenile,Female,0,2,1,0,0,0,1,113,0,66,8,39,165,27,138,2,0,2,23,3,0,3,17,305,106
02-Jun,Juvenile,Male,1,2,2,0,0,0,0,148,6,85,2,55,38,1,37,13,1,12,26,0,0,0,26,228,107
02-Jun,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
02-Jul,Adult,Female,2,3,2,0,0,0,1,465,16,216,35,198,109,37,72,41,10,31,108,13,1,38,56,728,109
02-Jul,Adult,Male,1,8,7,0,0,0,1,751,43,323,75,310,34,0,34,45,17,28,91,8,0,6,77,930,110
02-Jul,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
02-Jul,Juvenile,Female,0,2,1,0,0,0,1,104,1,46,1,56,124,20,104,6,0,6,36,5,0,5,26,272,112
02-Jul,Juvenile,Male,0,2,2,0,0,0,0,156,4,86,5,61,50,5,45,16,4,12,48,8,0,2,38,272,113
02-Jul,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
02-Aug,Adult,Female,1,4,2,0,0,0,2,451,10,212,39,190,132,38,94,36,6,30,109,7,1,42,59,733,115
02-Aug,Adult,Male,1,9,7,0,0,0,2,785,37,337,92,319,31,6,25,49,22,27,98,8,1,14,75,973,116
02-Aug,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
02-Aug,Juvenile,Female,0,1,0,1,0,0,0,115,2,55,2,56,149,38,111,4,0,4,61,7,0,6,48,330,118
02-Aug,Juvenile,Male,0,0,0,0,0,0,0,153,3,87,6,57,33,7,26,18,3,15,60,5,0,2,53,264,119
02-Aug,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
02-Sep,Adult,Female,1,2,2,0,0,0,0,445,8,206,34,197,118,35,83,24,4,20,104,3,1,38,62,694,121
02-Sep,Adult,Male,3,17,10,0,2,0,5,717,40,302,70,305,27,2,25,59,29,30,103,2,1,9,91,926,122
02-Sep,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
02-Sep,Juvenile,Female,0,0,0,0,0,0,0,117,2,66,3,46,214,42,172,2,1,1,61,7,0,11,43,394,124
02-Sep,Juvenile,Male,0,0,0,0,0,0,0,189,9,89,5,86,85,2,83,12,3,9,43,2,0,1,40,329,125
02-Sep,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
02-Oct,Adult,Female,2,6,5,0,0,0,1,472,18,219,31,204,107,49,58,26,12,14,121,11,3,43,64,734,127
02-Oct,Adult,Male,0,12,5,0,3,0,4,775,49,347,86,293,22,5,17,57,31,26,104,5,4,15,80,970,128
02-Oct,Adult,Not Stated,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,129
02-Oct,Juvenile,Female,0,2,2,0,0,0,0,150,2,71,5,72,204,44,160,7,3,4,56,9,0,3,44,419,130
02-Oct,Juvenile,Male,3,3,2,0,0,0,1,155,4,83,5,63,74,4,70,32,11,21,54,5,0,0,49,321,131
02-Oct,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,132
02-Nov,Adult,Female,1,2,2,0,0,0,0,569,24,278,31,236,110,44,66,40,10,30,146,13,2,65,66,868,133
02-Nov,Adult,Male,2,8,5,0,1,0,2,850,50,363,103,334,24,5,19,64,30,34,107,4,2,15,86,1055,134
02-Nov,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
02-Nov,Juvenile,Female,2,0,0,0,0,0,0,124,1,66,2,55,151,33,118,6,1,5,59,8,0,10,41,342,136
02-Nov,Juvenile,Male,1,3,3,0,0,0,0,208,9,121,6,72,59,9,50,26,6,20,57,3,1,1,52,354,137
02-Nov,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
02-Dec,Adult,Female,2,3,3,0,0,0,0,572,15,298,31,228,100,57,43,29,5,24,126,7,2,57,60,832,139
02-Dec,Adult,Male,7,8,5,0,3,0,0,981,61,438,104,378,15,2,13,75,17,58,114,7,4,18,85,1200,140
02-Dec,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
02-Dec,Juvenile,Female,0,0,0,0,0,0,0,127,1,72,4,50,148,29,119,14,3,11,74,9,0,5,60,363,142
02-Dec,Juvenile,Male,1,1,1,0,0,0,0,173,7,98,7,61,40,2,38,21,10,11,50,0,0,2,48,286,143
02-Dec,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,144
03-Jan,Adult,Female,1,1,1,0,0,0,0,545,15,290,26,214,102,45,57,41,7,34,132,12,1,52,67,822,145
03-Jan,Adult,Male,3,10,5,0,1,0,4,870,64,388,98,320,16,3,13,65,31,34,106,2,1,19,84,1070,146
03-Jan,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147
03-Jan,Juvenile,Female,0,0,0,0,0,0,0,119,1,60,3,55,159,26,133,7,3,4,53,7,0,5,41,338,148
03-Jan,Juvenile,Male,0,0,0,0,0,0,0,184,3,108,10,63,56,5,51,32,5,27,44,5,0,3,36,316,149
03-Jan,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,150
03-Feb,Adult,Female,1,4,1,0,0,0,3,477,10,225,30,212,119,41,78,22,6,16,127,12,0,46,69,750,151
03-Feb,Adult,Male,2,8,6,0,0,0,2,768,49,340,80,299,16,1,15,77,33,44,134,9,3,16,106,1005,152
03-Feb,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
03-Feb,Juvenile,Female,1,1,1,0,0,0,0,129,1,69,2,57,118,29,89,4,2,2,54,6,0,6,42,307,154
03-Feb,Juvenile,Male,0,0,0,0,0,0,0,214,4,117,7,86,28,2,26,27,8,19,68,3,0,1,64,337,155
03-Feb,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
03-Mar,Adult,Female,0,4,2,0,0,0,2,484,14,231,39,200,104,38,66,46,16,30,130,17,0,59,54,768,157
03-Mar,Adult,Male,3,9,7,0,0,0,2,796,58,342,85,311,9,0,9,69,26,43,106,4,2,19,81,992,158
03-Mar,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
03-Mar,Juvenile,Female,1,1,1,0,0,0,0,171,8,78,4,81,159,32,127,9,2,7,73,10,0,9,54,414,160
03-Mar,Juvenile,Male,1,3,3,0,0,0,0,216,9,123,6,78,36,2,34,28,12,16,51,3,0,2,46,335,161
03-Mar,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
03-Apr,Adult,Female,2,3,2,0,0,0,1,434,10,215,24,185,54,21,33,41,12,29,96,11,1,34,50,630,163
03-Apr,Adult,Male,5,9,7,0,1,0,1,731,49,313,87,282,20,2,18,64,22,42,111,5,6,17,83,940,164
03-Apr,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
03-Apr,Juvenile,Female,2,1,0,0,0,0,1,100,2,53,3,42,129,26,103,10,6,4,53,8,0,4,41,295,166
03-Apr,Juvenile,Male,1,3,1,0,0,0,2,164,4,95,6,59,34,7,27,26,8,18,54,6,0,1,47,282,167
03-Apr,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
03-May,Adult,Female,0,2,1,0,0,0,1,442,14,194,47,187,126,44,82,27,6,21,88,16,0,29,43,685,169
03-May,Adult,Male,3,10,3,1,0,0,6,687,34,289,81,283,19,6,13,59,26,33,91,2,3,14,72,869,170
03-May,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
03-May,Juvenile,Female,0,0,0,0,0,0,0,136,3,59,2,72,179,39,140,3,1,2,43,8,0,3,32,361,172
03-May,Juvenile,Male,0,1,1,0,0,0,0,169,4,94,7,64,53,3,50,23,7,16,49,1,0,0,48,295,173
03-May,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174
03-Jun,Adult,Female,1,4,3,0,0,0,1,399,12,206,24,157,100,41,59,55,19,36,88,8,0,34,46,647,175
03-Jun,Adult,Male,2,5,3,0,1,0,1,703,46,317,72,268,33,1,32,59,27,32,88,6,1,11,70,890,176
03-Jun,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
03-Jun,Juvenile,Female,0,1,1,0,0,0,0,112,3,44,2,63,163,47,116,5,2,3,63,10,0,10,43,344,178
03-Jun,Juvenile,Male,1,2,0,0,0,0,2,164,8,92,1,63,49,7,42,26,13,13,49,3,0,0,46,291,179
03-Jun,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
03-Jul,Adult,Female,2,3,3,0,0,0,0,453,11,207,31,204,112,38,74,34,10,24,116,20,1,35,60,720,181
03-Jul,Adult,Male,1,7,5,1,0,0,1,761,45,281,96,339,40,5,35,59,22,37,124,13,6,21,84,992,182
03-Jul,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183
03-Jul,Juvenile,Female,1,2,2,0,0,0,0,110,1,58,1,50,165,30,135,7,2,5,62,3,0,5,54,347,184
03-Jul,Juvenile,Male,0,0,0,0,0,0,0,197,4,86,10,97,66,6,60,26,6,20,70,13,0,1,56,359,185
03-Jul,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
03-Aug,Adult,Female,1,4,2,0,0,0,2,439,14,203,30,192,130,48,82,39,10,29,94,13,1,31,49,707,187
03-Aug,Adult,Male,8,4,4,0,0,0,0,769,52,333,84,300,28,5,23,68,28,40,102,6,2,8,86,979,188
03-Aug,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189
03-Aug,Juvenile,Female,0,1,0,0,0,0,1,139,2,64,8,65,205,36,169,2,1,1,81,9,0,6,66,428,190
03-Aug,Juvenile,Male,1,0,0,0,0,0,0,184,4,95,6,79,55,3,52,25,8,17,70,7,0,2,61,335,191
03-Aug,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,192
03-Sep,Adult,Female,1,6,4,0,0,0,2,432,12,198,28,194,125,48,77,28,7,21,110,7,1,43,59,702,193
03-Sep,Adult,Male,4,5,3,0,0,0,2,780,50,356,68,306,14,2,12,41,15,26,109,3,3,17,86,953,194
03-Sep,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
03-Sep,Juvenile,Female,2,0,0,0,0,0,0,125,0,64,3,58,192,43,149,7,2,5,75,10,0,15,50,401,196
03-Sep,Juvenile,Male,1,1,1,0,0,0,0,156,2,86,5,63,49,6,43,20,7,13,57,7,0,2,48,284,197
03-Sep,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198
03-Oct,Adult,Female,1,1,1,0,0,0,0,482,12,242,25,203,101,50,51,21,6,15,121,7,3,46,65,727,199
03-Oct,Adult,Male,3,10,8,0,0,0,2,806,56,354,82,314,16,2,14,59,23,36,105,7,0,10,88,999,200
03-Oct,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201
03-Oct,Juvenile,Female,0,0,0,0,0,0,0,143,1,68,2,72,185,38,147,1,0,1,88,8,0,7,73,417,202
03-Oct,Juvenile,Male,0,0,0,0,0,0,0,213,10,113,5,85,49,8,41,32,15,17,76,4,0,0,72,370,203
03-Oct,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204
03-Nov,Adult,Female,1,3,3,0,0,0,0,497,13,241,25,218,107,39,68,32,10,22,117,15,1,42,59,757,205
03-Nov,Adult,Male,3,11,8,0,0,0,3,830,51,352,103,324,15,1,14,57,25,32,109,4,5,11,89,1025,206
03-Nov,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207
03-Nov,Juvenile,Female,0,0,0,0,0,0,0,175,3,87,5,80,237,48,189,4,2,2,74,7,0,9,58,490,208
